test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,Controller API,00:00:30,global information,276916,276916,0,9230.5,0.13,2.13,82.04,1.95,2.44,4.92,15.86,3.18,0.045,0.045,0.045,12.1
nbomber_default_test_suite_name,nbomber_default_test_name,Minimal API,00:00:30,global information,294235,294235,0,9807.8,0.25,2.01,56.16,1.81,2.18,4.08,14.85,2.88,0.045,0.045,0.045,12.9
